Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
waist_roll_link,-0.0361586874792547,0.000885893431902929,0.159727936758651,0,0,0,3.69631614620845,0.0286500334092963,1.88191826483731E-05,0.000209491415937991,0.0188481924381707,2.23468299890932E-05,0.0161132330189304,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/waist_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/waist_roll_link.STL,,HAD2503-BY0204 胸腔-1,waist_roll_joint,waist_roll_link,waist_roll_joint,revolute,0.0365,0,0.097,0,0,0,waist_pitch_link,1,0,0,300,3.14,-0.174,0.174,,,,,,,,
right_shoulder_pitch_link,0.00197429440167129,-0.100962192777524,-7.65143124470402E-06,0,0,0,1.34492193373106,0.00087457536758574,-1.69904140254321E-05,-3.53927795594164E-07,0.00110083299477106,-3.48393455050019E-07,0.000989549786534911,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/right_shoulder_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/right_shoulder_pitch_link.STL,,HAD2503-BY030102-1,right_shoulder_pitch_joint,right_shoulder_pitch_link,right_shoulder_pitch_joint,revolute,-0.0365,-0.107,0.2435,0,0,0,waist_roll_link,0,1,0,100,3.14,-3.14,2.61,,,,,,,,
right_shoulder_roll_link,2.96935067090054E-05,-0.000118572574942188,-0.0846720718298865,0,0,0,1.40628619541696,0.0015869805983955,3.6614266324041E-07,-5.84077776756535E-07,0.00147392989732291,3.93202793978266E-06,0.000897173886662787,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/right_shoulder_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/right_shoulder_roll_link.STL,,HAD2503-BY030103-1,right_shuolder_roll_joint,right_shoulder_roll_link,right_shoulder_roll_joint,revolute,0,-0.103,0,0,0,0,right_shoulder_pitch_link,1,0,0,100,3.14,-3.14,0.034,,,,,,,,
right_shoulder_yaw_link,-0.00195169907526294,7.3116958177577E-05,-0.12511701278305,0,0,0,1.34124763067768,0.000870827454869681,-4.17507312869065E-07,1.58347371360727E-05,0.000982131410965569,-4.52004974994539E-07,0.00109409863785414,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/right_shoulder_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/right_shoulder_yaw_link.STL,,HAD2503-BY030104-1,right_shoulder_yaw_joint,right_shoulder_yaw_link,right_shoulder_yaw_joint,revolute,0,0,-0.056,0,0,0,right_shoulder_roll_link,0,0,1,100,3.14,-2.79,2.79,,,,,,,,
right_elbow_link,-3.00884378843236E-05,-0.00101364629643763,-0.092543939157619,0,0,0,0.793042526255118,0.00109565302251714,3.38222250141643E-07,-2.13943485516213E-06,0.00101209554839999,1.48542958573062E-05,0.000381731033902027,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/right_elbow_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/right_elbow_link.STL,,HAD2503-BY030105-1,right_elbow_joint,right_elbow_link,right_elbow_joint,revolute,0,0,-0.127,0,0,0,right_shoulder_yaw_link,1,0,0,100,3.14,-1.133,2.18,,,,,,,,
right_wrist_yaw_link,2.17849329053887E-06,0.00188821850660581,-0.0842796465927433,0,0,0,0.144248719855214,0.000123765654587892,-3.85968883297308E-09,-3.54650685936709E-09,8.74623503147713E-05,-2.39786586226936E-05,0.000144390708995472,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/right_wrist_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/right_wrist_yaw_link.STL,,HAD2503-B0YFLCS01-2,right_wrist_yaw_joint,right_wrist_yaw_link,right_wrist_yaw_joint,revolute,0,0,-0.0803,0,0,0,right_elbow_link,0,0,1,100,3.14,-2.79,2.79,,,,,,,,
right_wrist_pitch_link,0.00231441929043097,-0.00208575820662782,-0.0262544936035699,0,0,0,1.11905779624015,0.000532423333175471,-4.82452674545839E-07,6.51579297542585E-06,0.000532259765284559,6.86808731095452E-06,0.000445659114733021,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/right_wrist_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/right_wrist_pitch_link.STL,,HAD2503-B0YFLCS02-2,right_wrist_pitch_joint,right_wrist_pitch_link,right_wrist_pitch_joint,revolute,0,0,-0.1057,0,0,0,right_wrist_yaw_link,0,1,0,100,3.14,-1.133,1.133,,,,,,,,
right_wrist_roll_link,-0.000763133909769453,-2.92154930559008E-06,-0.0750798401121007,0,0,0,0.615316985492495,0.000268540087795293,2.94365923706684E-08,-2.62601947208676E-05,0.000315892304382758,2.7402488357588E-08,0.000386365840654523,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/right_wrist_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/right_wrist_roll_link.STL,,HAD2503-B0YFLCS03-2,right_wrist_roll_joint,right_wrist_roll_link,right_wrist_roll_joint,revolute,0,0.00025,-0.0525,0,0,0,right_wrist_pitch_link,1,0,0,100,3.14,-1.133,1.133,,,,,,,,
right_dex1_finger_link_1,0.0214347838022609,-0.0123875795518167,-0.0387282082158908,0,0,0,0.131361177900156,0.00020452741956586,7.19716346912695E-06,1.9091317172415E-05,0.000176917605290125,-1.33142643691195E-05,5.39635056093567E-05,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/right_dex1_finger_link_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/right_dex1_finger_link_1.STL,,HAD2503-YFLCS01Z-01-4,right_dex1_finger_joint_1,right_dex1_finger_link_1,right_dex1_finger_joint_1,prismatic,0.017,0.01475,-0.1225,0,0,0,right_wrist_roll_link,1,0,0,10,10,0,0.02,,,,,,,,
right_dex1_finger_link_2,-0.0264347838022586,0.0123875799755522,-0.0387282082168287,0,0,0,0.131361177900155,0.000204527419565861,7.19716346913197E-06,-1.90913171724051E-05,0.000176917605290114,1.33142643691582E-05,5.39635056093628E-05,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/right_dex1_finger_link_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/right_dex1_finger_link_2.STL,,HAD2503-YFLCS01Z-01-3,right_dex1_finger_joint_2,right_dex1_finger_link_2,right_dex1_finger_joint_2,prismatic,-0.012,-0.01475,-0.1225,0,0,0,right_wrist_roll_link,1,0,0,10,10,-0.02,0,,,,,,,,
